1956-01-01,Melbourne / Stockholm,Aquatics,Swimming,"GRINHAM, Judith Brenda",Women,100M Backstroke,Gold,United Kingdom,GBR,65138232.0,43875.9696143686,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125
1956-01-01,Melbourne / Stockholm,Aquatics,Swimming,"CONE, Carin Alice",Women,100M Backstroke,Silver,United States,USA,321418820.0,56115.7184261955,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875
1956-01-01,Melbourne / Stockholm,Aquatics,Swimming,"CONE, Carin Alice",Women,100M Backstroke,Silver,United States,USA,321418820.0,56115.7184261955,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125
1956-01-01,Melbourne / Stockholm,Aquatics,Swimming,"SEARS, Mary Jane",Women,100M Butterfly,Bronze,United States,USA,321418820.0,56115.7184261955,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875
1956-01-01,Melbourne / Stockholm,Aquatics,Swimming,"SEARS, Mary Jane",Women,100M Butterfly,Bronze,United States,USA,321418820.0,56115.7184261955,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125
1956-01-01,Melbourne / Stockholm,Aquatics,Swimming,"MANN, Shelley Isabel",Women,100M Butterfly,Gold,United States,USA,321418820.0,56115.7184261955,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875
1956-01-01,Melbourne / Stockholm,Aquatics,Swimming,"MANN, Shelley Isabel",Women,100M Butterfly,Gold,United States,USA,321418820.0,56115.7184261955,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125
1956-01-01,Melbourne / Stockholm,Aquatics,Swimming,"RAMEY, Nancy Jane",Women,100M Butterfly,Silver,United States,USA,321418820.0,56115.7184261955,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875
1956-01-01,Melbourne / Stockholm,Aquatics,Swimming,"RAMEY, Nancy Jane",Women,100M Butterfly,Silver,United States,USA,321418820.0,56115.7184261955,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125
1956-01-01,Melbourne / Stockholm,Aquatics,Swimming,"CHAPMAN, Gary",Men,100M Freestyle,Bronze,Australia,AUS,23781169.0,56310.9629933721,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875
1956-01-01,Melbourne / Stockholm,Aquatics,Swimming,"CHAPMAN, Gary",Men,100M Freestyle,Bronze,Australia,AUS,23781169.0,56310.9629933721,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125
1956-01-01,Melbourne / Stockholm,Aquatics,Swimming,"HENRICKS, Jon Malcolm",Men,100M Freestyle,Gold,Australia,AUS,23781169.0,56310.9629933721,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875
1956-01-01,Melbourne / Stockholm,Aquatics,Swimming,"HENRICKS, Jon Malcolm",Men,100M Freestyle,Gold,Australia,AUS,23781169.0,56310.9629933721,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125
